Speed[r/min],Torque[Nm],Voltage (Amplitude)[V],
21.8905472636816,1031.8407960199,44.0989479502178,
21.8905472636816,1048.75621890547,44.3731918583033,
21.8905472636816,1065.67164179104,44.6497955021816,
21.8905472636816,1082.58706467662,44.9301679290309,
21.8905472636816,1099.50248756219,45.2157181860294,
21.8905472636816,1116.41791044776,45.5078553203553,
21.8905472636816,1133.33333333333,45.8079883791867,
21.8905472636816,1150.24875621891,46.1175386365081,
21.8905472636816,1167.16417910448,46.4394997285275,
21.8905472636816,1184.07960199005,46.772635973392,
21.8905472636816,1200.99502487562,47.1129513919383,
21.8905472636816,1217.91044776119,47.4564500050034,
21.8905472636816,1234.82587064677,47.7991358334241,
21.8905472636816,1251.74129353234,48.1370128980372,
21.8905472636816,1268.65671641791,48.4660852196798,
21.8905472636816,1285.57213930348,48.7823568191885,
21.8905472636816,1302.48756218905,49.0818317174003,
21.8905472636816,1319.40298507463,49.3612472059171,
21.8905472636816,1336.3184079602,49.6263207607484,
21.8905472636816,1353.23383084577,49.880628941699,
21.8905472636816,1370.14925373134,50.1259874580084,
21.8905472636816,1387.06467661692,50.3642120189159,
21.8905472636816,1403.98009950249,50.5971183336612,
21.8905472636816,1420.89552238806,50.8265221114837,
21.8905472636816,1437.81094527363,51.0542390616229,
21.8905472636816,1454.7263681592,51.2820848933183,
21.8905472636816,1471.64179104478,51.5118753158094,
21.8905472636816,1488.55721393035,51.7387005253017,
21.8905472636816,1505.47263681592,51.9437836754048,
21.8905472636816,1522.38805970149,52.1301935473142,
21.8905472636816,1539.30348258706,52.3027624904238,
21.8905472636816,1556.21890547264,52.4663228541275,
21.8905472636816,1573.13432835821,52.6257069878191,
21.8905472636816,1590.04975124378,52.7857472408927,
21.8905472636816,1606.96517412935,52.9512759627422,
21.8905472636816,1623.88059701493,53.1271255027614,
21.8905472636816,1640.7960199005,53.3181282103443,
21.8905472636816,1657.71144278607,53.5182268707656,
21.8905472636816,1674.62686567164,53.7163947235138,
21.8905472636816,1691.54228855721,53.9124739651739,
21.8905472636816,1708.45771144279,54.106323391641,
21.8905472636816,1725.37313432836,54.2978017988101,
21.8905472636816,1742.28855721393,54.4867679825762,
21.8905472636816,1759.2039800995,54.6730807388343,
21.8905472636816,1776.11940298507,54.8565988634795,
21.8905472636816,1793.03482587065,55.0371811524068,
21.8905472636816,1809.95024875622,55.2145181128527,
21.8905472636816,1826.86567164179,55.3851387653047,
21.8905472636816,1843.78109452736,55.5481408299231,
21.8905472636816,1860.69651741294,55.7040908747546,
21.8905472636816,1877.61194029851,55.853555467846,
21.8905472636816,1894.52736318408,55.9971011772441,
21.8905472636816,1911.44278606965,56.1352945709958,
21.8905472636816,1928.35820895522,56.2687022171477,
21.8905472636816,1945.2736318408,56.3978906837468,
21.8905472636816,1962.18905472637,56.5234265388398,
21.8905472636816,1979.10447761194,56.6476848985998,
21.8905472636816,1996.01990049751,56.7799515690099,
21.8905472636816,2012.93532338308,56.9217109839634,
21.8905472636816,2029.85074626866,57.0732598031593,
21.8905472636816,2046.76616915423,57.2348946862967,
21.8905472636816,2063.6815920398,57.4069122930744,
21.8905472636816,2080.59701492537,57.5896092831915,
21.8905472636816,2097.51243781094,57.7832823163468,
21.8905472636816,2114.42786069652,57.9882280522395,
21.8905472636816,2131.34328358209,58.2047431505684,
