Speed[r/min],Torque[Nm],Current (Id)[A],
43.7810945273632,2199.00497512438,-174.453434413758,
43.7810945273632,2215.92039800995,-175.869661892824,
43.7810945273632,2232.83582089552,-177.289467762176,
43.7810945273632,2249.75124378109,-178.712883113103,
43.7810945273632,2266.66666666667,-180.139938385514,
43.7810945273632,2283.58208955224,-181.57066337505,
43.7810945273632,2300.49751243781,-183.005141107075,
43.7810945273632,2317.41293532338,-184.446258118882,
43.7810945273632,2334.32835820895,-185.894609574324,
43.7810945273632,2351.24378109453,-187.348728775688,
43.7810945273632,2368.1592039801,-188.807120567673,
43.7810945273632,2385.07462686567,-190.268261715022,
43.7810945273632,2401.99004975124,-191.73060110018,
43.7810945273632,2418.90547263682,-193.192559730641,
43.7810945273632,2435.82089552239,-194.652530545546,
43.7810945273632,2452.73631840796,-196.108878011064,
43.7810945273632,2469.65174129353,-197.560166471892,
43.7810945273632,2486.5671641791,-199.007432302485,
43.7810945273632,2503.48258706468,-200.45201878167,
43.7810945273632,2520.39800995025,-201.895070282945,
43.7810945273632,2537.31343283582,-203.33775332248,
43.7810945273632,2554.22885572139,-204.781256823099,
43.7810945273632,2571.14427860697,-206.226792285353,
43.7810945273632,2588.05970149254,-207.675593859882,
43.7810945273632,2604.97512437811,-209.128918315231,
43.7810945273632,2621.89054726368,-210.588044895263,
43.7810945273632,2638.80597014925,-212.054496310685,
43.7810945273632,2655.72139303483,-213.529227756069,
43.7810945273632,2672.6368159204,-215.011760958597,
43.7810945273632,2689.55223880597,-216.501557328253,
43.7810945273632,2706.46766169154,-217.998067184234,
43.7810945273632,2723.38308457711,-219.500729957035,
43.7810945273632,2740.29850746269,-221.008974364602,
43.7810945273632,2757.21393034826,-222.522218561121,
43.7810945273632,2774.12935323383,-224.039870257008,
43.7810945273632,2791.0447761194,-225.561318243842,
43.7810945273632,2807.96019900498,-227.078441507586,
43.7810945273632,2824.87562189055,-228.585827315477,
43.7810945273632,2841.79104477612,-230.085473680383,
43.7810945273632,2858.70646766169,-231.579412715302,
43.7810945273632,2875.62189054726,-233.069712291396,
43.7810945273632,2892.53731343284,-234.558477388234,
43.7810945273632,2909.45273631841,-236.047851118937,
43.7810945273632,2926.36815920398,-237.540015413113,
43.7810945273632,2943.28358208955,-239.037191340527,
43.7810945273632,2960.19900497512,-240.541461101605,
43.7810945273632,2977.1144278607,-242.052173396617,
43.7810945273632,2994.02985074627,-243.569055911446,
43.7810945273632,3010.94527363184,-245.092425371975,
43.7810945273632,3027.86069651741,-246.622602787665,
43.7810945273632,3044.77611940298,-248.159913388213,
43.7810945273632,3061.69154228856,-249.704686553274,
43.7810945273632,3078.60696517413,-251.257255734982,
43.7810945273632,3095.5223880597,-252.817958373012,
43.7810945273632,3112.43781094527,-254.387135801891,
43.7810945273632,3129.35323383085,-255.955273084511,
43.7810945273632,3146.26865671642,-257.488698212987,
43.7810945273632,3163.18407960199,-258.990730776632,
43.7810945273632,3180.09950248756,-260.468408252873,
43.7810945273632,3197.01492537313,-261.928812737632,
43.7810945273632,3213.93034825871,-263.379069559233,
43.7810945273632,3230.84577114428,-264.826346486858,
43.7810945273632,3247.76119402985,-266.277853508835,
43.7810945273632,3264.67661691542,-269.358810311485,
43.7810945273632,3281.59203980099,-269.358810311485,
65.6716417910448,0,0,
65.6716417910448,16.9154228855721,-0.541645594571859,
65.6716417910448,33.8308457711443,-2.01246467302335,
65.6716417910448,50.7462686567164,-4.16917152655707,
