Speed[r/min],Torque[Nm],Current (Iq)[A],
43.7810945273632,524.378109452736,54.9067947966978,
43.7810945273632,541.293532338308,56.0872439042773,
43.7810945273632,558.208955223881,57.2630935631185,
43.7810945273632,575.124378109453,58.4367793646573,
43.7810945273632,592.039800995025,59.6109082152578,
43.7810945273632,608.955223880597,60.7882517043875,
43.7810945273632,625.870646766169,61.9717379218273,
43.7810945273632,642.786069651741,63.1644416059188,
43.7810945273632,659.701492537313,64.3692925314311,
43.7810945273632,676.616915422886,65.5773898519205,
43.7810945273632,693.532338308458,66.7807428657291,
43.7810945273632,710.44776119403,67.9758489837869,
43.7810945273632,727.363184079602,69.1589207821921,
43.7810945273632,744.278606965174,70.3258820382421,
43.7810945273632,761.194029850746,71.4723590060499,
43.7810945273632,778.109452736318,72.5936665471121,
43.7810945273632,795.02487562189,73.6847887516671,
43.7810945273632,811.940298507463,74.7403537138969,
43.7810945273632,828.855721393035,75.7571820833921,
43.7810945273632,845.771144278607,76.748625990743,
43.7810945273632,862.686567164179,77.7186659533502,
43.7810945273632,879.601990049751,78.6687672724102,
43.7810945273632,896.517412935323,79.6005735204524,
43.7810945273632,913.432835820895,80.515913500966,
43.7810945273632,930.348258706468,81.416807195238,
43.7810945273632,947.26368159204,82.3054705878698,
43.7810945273632,964.179104477612,83.1843192677819,
43.7810945273632,981.094527363184,84.0559707065787,
43.7810945273632,998.009950248756,84.9227413193282,
43.7810945273632,1014.92537313433,85.7853614687234,
43.7810945273632,1031.8407960199,86.6447023208935,
43.7810945273632,1048.75621890547,87.5016873167577,
43.7810945273632,1065.67164179104,88.3572680423276,
43.7810945273632,1082.58706467662,89.2124240022657,
43.7810945273632,1099.50248756219,90.0681623555916,
43.7810945273632,1116.41791044776,90.9255176122865,
43.7810945273632,1133.33333333333,91.7855512894506,
43.7810945273632,1150.24875621891,92.6493435143212,
43.7810945273632,1167.16417910448,93.5159184016265,
43.7810945273632,1184.07960199005,94.3834149921742,
43.7810945273632,1200.99502487562,95.250929450813,
43.7810945273632,1217.91044776119,96.1174856283961,
